target,project,days,commit1,commit2
target/scala-2.11/routes/main/router/Routes.scala:2326,MITLibraries/topichub,7.09771990741,098cd81f269fca429bea410b449d5c2bff0c0bc4,097be123e80208b65b45bfe319dda2940adb9bf6
target/scala-2.11/routes/main/router/Routes.scala:2324,MITLibraries/topichub,7.09771990741,098cd81f269fca429bea410b449d5c2bff0c0bc4,097be123e80208b65b45bfe319dda2940adb9bf6
target/scala-2.11/routes/main/router/Routes.scala:2719,MITLibraries/topichub,7.09771990741,098cd81f269fca429bea410b449d5c2bff0c0bc4,097be123e80208b65b45bfe319dda2940adb9bf6
target/scala-2.11/routes/main/router/Routes.scala:2718,MITLibraries/topichub,7.09771990741,098cd81f269fca429bea410b449d5c2bff0c0bc4,097be123e80208b65b45bfe319dda2940adb9bf6
target/scala-2.11/routes/main/router/Routes.scala:2246,MITLibraries/topichub,7.09771990741,098cd81f269fca429bea410b449d5c2bff0c0bc4,097be123e80208b65b45bfe319dda2940adb9bf6
target/scala-2.11/routes/main/router/Routes.scala:2244,MITLibraries/topichub,7.09771990741,098cd81f269fca429bea410b449d5c2bff0c0bc4,097be123e80208b65b45bfe319dda2940adb9bf6
target/scala-2.11/routes/main/router/Routes.scala:2724,MITLibraries/topichub,7.09771990741,098cd81f269fca429bea410b449d5c2bff0c0bc4,097be123e80208b65b45bfe319dda2940adb9bf6
target/scala-2.11/routes/main/router/Routes.scala:2725,MITLibraries/topichub,7.09771990741,098cd81f269fca429bea410b449d5c2bff0c0bc4,097be123e80208b65b45bfe319dda2940adb9bf6
target/scala-2.11/routes/main/router/Routes.scala:2331,MITLibraries/topichub,7.09771990741,098cd81f269fca429bea410b449d5c2bff0c0bc4,097be123e80208b65b45bfe319dda2940adb9bf6
target/scala-2.11/routes/main/router/Routes.scala:2330,MITLibraries/topichub,7.09771990741,098cd81f269fca429bea410b449d5c2bff0c0bc4,097be123e80208b65b45bfe319dda2940adb9bf6
target/scala-2.11/routes/main/router/Routes.scala:2239,MITLibraries/topichub,7.09771990741,098cd81f269fca429bea410b449d5c2bff0c0bc4,097be123e80208b65b45bfe319dda2940adb9bf6
../dist/js/ui-components.js:4886,ManageIQ/ui-components,7.86885416667,9c14e097dcc533fba6dd7eb1fd0096062cedae7e,9d10d6d3ee908370637b63d5cfbc3847c3078089
core/src/main/scala/eu/shiftforward/apso/config/Implicits.scala:375,ShiftForward/apso,7.9528587963,8c6c9c68a7c5fe50f10953747919b8ff9bb62c53,d6f2c3efd4607f9e551bb12c0be3250fc1008b88
target/scala-2.11/routes/main/router/Routes.scala:3091,MITLibraries/topichub,8.03541666667,388261be2b0b48b13d4c20563239e990dbba499f,b45b4c167f26dda3daf16c11b5159cd876c54469
target/scala-2.11/routes/main/router/Routes.scala:3090,MITLibraries/topichub,8.03541666667,388261be2b0b48b13d4c20563239e990dbba499f,b45b4c167f26dda3daf16c11b5159cd876c54469
target/scala-2.11/routes/main/router/Routes.scala:2742,MITLibraries/topichub,8.03541666667,388261be2b0b48b13d4c20563239e990dbba499f,b45b4c167f26dda3daf16c11b5159cd876c54469
target/scala-2.11/routes/main/router/Routes.scala:2743,MITLibraries/topichub,8.03541666667,388261be2b0b48b13d4c20563239e990dbba499f,b45b4c167f26dda3daf16c11b5159cd876c54469
/frontend/Parser.cs:403,ilovepi/Compiler,8.14850694444,46195dccca4f413e75332745f3c60e01b64481de,5aae51bdb9424d8d69fe4783890f845ada26f428
handlebars-maven-plugin/src/main/java/com/github/jknack/handlebars/maven/PrecompilePlugin.java:289,jknack-handlebars.java,12.6688194444,a5e1ec8d36e73dafa750aa490df2a585e06d4558,27e7c7cfbcf83aa8b4cb27227c50d54bb1f497f8
handlebars-maven-plugin/src/main/java/com/github/jknack/handlebars/maven/PrecompilePlugin.java:328,jknack-handlebars.java,12.6688194444,a5e1ec8d36e73dafa750aa490df2a585e06d4558,27e7c7cfbcf83aa8b4cb27227c50d54bb1f497f8
target/scala-2.11/routes/main/router/Routes.scala:2593,MITLibraries/topichub,13.2313194444,6717b996f1205d293dde88a883ccac839cb18682,8a09a79d2a3d7231f2e32f828993dceaae5c54be
target/scala-2.11/routes/main/router/Routes.scala:2592,MITLibraries/topichub,13.2313194444,6717b996f1205d293dde88a883ccac839cb18682,8a09a79d2a3d7231f2e32f828993dceaae5c54be
target/scala-2.11/routes/main/router/Routes.scala:1657,MITLibraries/topichub,13.2313194444,6717b996f1205d293dde88a883ccac839cb18682,8a09a79d2a3d7231f2e32f828993dceaae5c54be
