target,project,days,#commits,commit1,commit2
src/main/java/org/raml/v2/internal/framework/nodes/snakeyaml/SYFloatingNode.java:32,raml-org-raml-java-parser,2.31481481481e-05,13,f7988002af995326795b5c457d24ced578e5f7eb,8f28f52620e02fdde579b1d54a8335cedb06b476
src/main/java/org/raml/v2/internal/framework/nodes/snakeyaml/SYFloatingNode.java:31,raml-org-raml-java-parser,2.31481481481e-05,13,f7988002af995326795b5c457d24ced578e5f7eb,8f28f52620e02fdde579b1d54a8335cedb06b476
src/main/java/org/raml/v2/internal/framework/nodes/snakeyaml/SYFloatingNode.java:56,raml-org-raml-java-parser,2.31481481481e-05,13,f7988002af995326795b5c457d24ced578e5f7eb,8f28f52620e02fdde579b1d54a8335cedb06b476
src/main/java/org/raml/v2/internal/framework/grammar/rule/ErrorNodeFactory.java:172,raml-org-raml-java-parser,2.31481481481e-05,10,f7988002af995326795b5c457d24ced578e5f7eb,7da2d867b95fb8c8cc5631cc661402a8ea2ca09c
C/projects/valveresourceformat/ValveResourceFormat/Package/Package.cs:428,SteamDatabase/ValveResourceFormat,1.11277777778,8,1a72b43ad63cef63121e7906a70d227008d2d912,89bf432cbf398b74431df4e3e958dbe45e515d8c
C/projects/valveresourceformat/ValveResourceFormat/Package/Package.cs:419,SteamDatabase/ValveResourceFormat,1.11277777778,8,1a72b43ad63cef63121e7906a70d227008d2d912,89bf432cbf398b74431df4e3e958dbe45e515d8c
src/main/java/org/raml/v2/internal/framework/grammar/rule/ArrayWrapperNode.java:100,raml-org-raml-java-parser,4.90439814815,33,f7988002af995326795b5c457d24ced578e5f7eb,0d4276a8ac0948c6dfe0e46c3ea85fed347645db
mbed_lstools/lstools_base.py:137,ARMmbed/mbed-ls,4.99277777778,8,60828b16fd4d816d8db18e30ff38f14777bf1728,cb03042d514c017afdc8da476564e79285384a26
mbed_lstools/lstools_base.py:136,ARMmbed/mbed-ls,4.99277777778,8,60828b16fd4d816d8db18e30ff38f14777bf1728,cb03042d514c017afdc8da476564e79285384a26
core/src/main/java/io/undertow/server/handlers/cache/LRUCache.java:107,undertow-io-undertow,5.88798611111,8,30a74a38547673bf98854be5155ae9fd65c7bc3e,a23a13a81e9de0be13f547f1005589f8dd95691c
servlet/src/test/java/io/undertow/servlet/test/defaultservlet/DefaultServletCachingTestCase.java:161,undertow-io-undertow,5.88798611111,8,30a74a38547673bf98854be5155ae9fd65c7bc3e,a23a13a81e9de0be13f547f1005589f8dd95691c
servlet/src/test/java/io/undertow/servlet/test/defaultservlet/DefaultServletCachingTestCase.java:163,undertow-io-undertow,5.88798611111,8,30a74a38547673bf98854be5155ae9fd65c7bc3e,a23a13a81e9de0be13f547f1005589f8dd95691c
servlet/src/test/java/io/undertow/servlet/test/defaultservlet/DefaultServletCachingTestCase.java:162,undertow-io-undertow,5.88798611111,8,30a74a38547673bf98854be5155ae9fd65c7bc3e,a23a13a81e9de0be13f547f1005589f8dd95691c
