target,project,days,commit1,commit2,commit3,commit4
consumer/dispatcher/dispatcher.go:220,mailgun/kafka-pixy,26.0591435185,22d3e1fcb4a203e4c7443125a9a635a18df00d3a,41146df1535595a5aa04cba8ab9866f974b4dbb0,0737c1c471dbc39b2d08e2f7b2a5dbff62bcae8e,7b97563d6398a6a9a53174ca6fd82255af081954
consumer/dispatcher/dispatcher.go:218,mailgun/kafka-pixy,26.0591435185,22d3e1fcb4a203e4c7443125a9a635a18df00d3a,41146df1535595a5aa04cba8ab9866f974b4dbb0,0737c1c471dbc39b2d08e2f7b2a5dbff62bcae8e,7b97563d6398a6a9a53174ca6fd82255af081954
consumer/dispatcher/dispatcher.go:219,mailgun/kafka-pixy,26.0591435185,22d3e1fcb4a203e4c7443125a9a635a18df00d3a,41146df1535595a5aa04cba8ab9866f974b4dbb0,0737c1c471dbc39b2d08e2f7b2a5dbff62bcae8e,7b97563d6398a6a9a53174ca6fd82255af081954
consumer/dispatcher/dispatcher.go:216,mailgun/kafka-pixy,26.0591435185,22d3e1fcb4a203e4c7443125a9a635a18df00d3a,41146df1535595a5aa04cba8ab9866f974b4dbb0,0737c1c471dbc39b2d08e2f7b2a5dbff62bcae8e,7b97563d6398a6a9a53174ca6fd82255af081954
consumer/dispatcher/dispatcher.go:217,mailgun/kafka-pixy,26.0591435185,22d3e1fcb4a203e4c7443125a9a635a18df00d3a,41146df1535595a5aa04cba8ab9866f974b4dbb0,0737c1c471dbc39b2d08e2f7b2a5dbff62bcae8e,7b97563d6398a6a9a53174ca6fd82255af081954
consumer/dispatcher/dispatcher.go:221,mailgun/kafka-pixy,26.0591435185,22d3e1fcb4a203e4c7443125a9a635a18df00d3a,41146df1535595a5aa04cba8ab9866f974b4dbb0,0737c1c471dbc39b2d08e2f7b2a5dbff62bcae8e,7b97563d6398a6a9a53174ca6fd82255af081954
consumer/dispatcher/dispatcher.go:215,mailgun/kafka-pixy,26.0591435185,22d3e1fcb4a203e4c7443125a9a635a18df00d3a,41146df1535595a5aa04cba8ab9866f974b4dbb0,0737c1c471dbc39b2d08e2f7b2a5dbff62bcae8e,7b97563d6398a6a9a53174ca6fd82255af081954
consumer/dispatcher/dispatcher.go:183,mailgun/kafka-pixy,26.0591435185,22d3e1fcb4a203e4c7443125a9a635a18df00d3a,41146df1535595a5aa04cba8ab9866f974b4dbb0,0737c1c471dbc39b2d08e2f7b2a5dbff62bcae8e,7b97563d6398a6a9a53174ca6fd82255af081954
consumer/dispatcher/dispatcher.go:182,mailgun/kafka-pixy,26.0591435185,22d3e1fcb4a203e4c7443125a9a635a18df00d3a,41146df1535595a5aa04cba8ab9866f974b4dbb0,0737c1c471dbc39b2d08e2f7b2a5dbff62bcae8e,7b97563d6398a6a9a53174ca6fd82255af081954
consumer/dispatcher/dispatcher.go:184,mailgun/kafka-pixy,26.0591435185,22d3e1fcb4a203e4c7443125a9a635a18df00d3a,41146df1535595a5aa04cba8ab9866f974b4dbb0,0737c1c471dbc39b2d08e2f7b2a5dbff62bcae8e,7b97563d6398a6a9a53174ca6fd82255af081954
consumer/dispatcher/dispatcher.go:222,mailgun/kafka-pixy,26.0591435185,22d3e1fcb4a203e4c7443125a9a635a18df00d3a,41146df1535595a5aa04cba8ab9866f974b4dbb0,0737c1c471dbc39b2d08e2f7b2a5dbff62bcae8e,7b97563d6398a6a9a53174ca6fd82255af081954
consumer/dispatcher/dispatcher.go:185,mailgun/kafka-pixy,26.0591435185,22d3e1fcb4a203e4c7443125a9a635a18df00d3a,41146df1535595a5aa04cba8ab9866f974b4dbb0,0737c1c471dbc39b2d08e2f7b2a5dbff62bcae8e,7b97563d6398a6a9a53174ca6fd82255af081954
target/scala-2.11/routes/main/router/Routes.scala:2208,MITLibraries/topichub,49.975162037,17c6833b89266147665521203d290e5af413b498,098cd81f269fca429bea410b449d5c2bff0c0bc4,097be123e80208b65b45bfe319dda2940adb9bf6,b45b4c167f26dda3daf16c11b5159cd876c54469
target/scala-2.11/routes/main/router/Routes.scala:2700,MITLibraries/topichub,55.1941550926,6717b996f1205d293dde88a883ccac839cb18682,8a09a79d2a3d7231f2e32f828993dceaae5c54be,098cd81f269fca429bea410b449d5c2bff0c0bc4,388261be2b0b48b13d4c20563239e990dbba499f
target/scala-2.11/routes/main/router/Routes.scala:2701,MITLibraries/topichub,55.1941550926,6717b996f1205d293dde88a883ccac839cb18682,8a09a79d2a3d7231f2e32f828993dceaae5c54be,098cd81f269fca429bea410b449d5c2bff0c0bc4,388261be2b0b48b13d4c20563239e990dbba499f
target/scala-2.11/routes/main/router/Routes.scala:2179,MITLibraries/topichub,63.2295717593,6717b996f1205d293dde88a883ccac839cb18682,098cd81f269fca429bea410b449d5c2bff0c0bc4,097be123e80208b65b45bfe319dda2940adb9bf6,b45b4c167f26dda3daf16c11b5159cd876c54469
target/scala-2.11/routes/main/router/Routes.scala:2128,MITLibraries/topichub,86.2546759259,6717b996f1205d293dde88a883ccac839cb18682,097be123e80208b65b45bfe319dda2940adb9bf6,b45b4c167f26dda3daf16c11b5159cd876c54469,8848006a2cd62a6b30e07b888f58d7fbe355f28f
target/scala-2.11/routes/main/router/Routes.scala:2129,MITLibraries/topichub,86.2546759259,6717b996f1205d293dde88a883ccac839cb18682,097be123e80208b65b45bfe319dda2940adb9bf6,b45b4c167f26dda3daf16c11b5159cd876c54469,8848006a2cd62a6b30e07b888f58d7fbe355f28f
target/scala-2.11/routes/main/router/Routes.scala:2127,MITLibraries/topichub,86.2546759259,6717b996f1205d293dde88a883ccac839cb18682,097be123e80208b65b45bfe319dda2940adb9bf6,b45b4c167f26dda3daf16c11b5159cd876c54469,8848006a2cd62a6b30e07b888f58d7fbe355f28f
